date_key,customer_id,plan_tier,mrr
20240201,CUS-00259,Growth,818.36
20240201,CUS-01777,Growth,818.36
20240201,CUS-02177,Growth,738.52
20240201,CUS-02193,Starter,99.0
20240201,CUS-03036,Enterprise,31008.0
20240201,CUS-03720,Growth,658.68
20240201,CUS-04159,Growth,898.2
20240201,CUS-04299,Starter,130.68
20240201,CUS-04861,Enterprise,17760.0
20240301,CUS-00084,Growth,818.36
20240301,CUS-00193,Enterprise,32736.0
20240301,CUS-00244,Enterprise,20448.0
20240301,CUS-00259,Growth,818.36
20240301,CUS-00275,Growth,1137.72
20240301,CUS-00628,Starter,99.0
20240301,CUS-00785,Starter,130.68
20240301,CUS-00889,Starter,106.92
20240301,CUS-01252,Growth,858.28
20240301,CUS-01486,Starter,99.0
20240301,CUS-01557,Growth,1217.56
20240301,CUS-01610,Enterprise,40032.0
20240301,CUS-01777,Growth,818.36
20240301,CUS-01911,Starter,106.92
20240301,CUS-02106,Enterprise,8544.0
20240301,CUS-02177,Growth,738.52
20240301,CUS-02278,Enterprise,19296.0
20240301,CUS-03036,Enterprise,31008.0
20240301,CUS-03143,Starter,106.92
20240301,CUS-03177,Growth,1017.96
20240301,CUS-03231,Enterprise,39072.0
20240301,CUS-03689,Growth,1017.96
20240301,CUS-03720,Growth,658.68
20240301,CUS-03760,Starter,99.0
20240301,CUS-03850,Growth,1536.92
20240301,CUS-03853,Starter,106.92
20240301,CUS-03910,Growth,1217.56
20240301,CUS-04104,Growth,898.2
20240301,CUS-04111,Starter,130.68
20240301,CUS-04159,Growth,898.2
20240301,CUS-04182,Starter,114.84
20240301,CUS-04292,Growth,978.04
20240301,CUS-04299,Starter,130.68
20240301,CUS-04861,Enterprise,17760.0
20240301,CUS-04963,Starter,122.76
20240401,CUS-00017,Growth,1297.4
20240401,CUS-00084,Growth,818.36
20240401,CUS-00193,Enterprise,32736.0
20240401,CUS-00209,Growth,1616.76
20240401,CUS-00215,Enterprise,30240.0
20240401,CUS-00244,Enterprise,20448.0
20240401,CUS-00259,Growth,818.36
20240401,CUS-00275,Growth,1137.72
20240401,CUS-00404,Growth,658.68
20240401,CUS-00598,Growth,1536.92
20240401,CUS-00628,Starter,99.0
20240401,CUS-00697,Starter,106.92
20240401,CUS-00735,Growth,1177.64
20240401,CUS-00745,Starter,130.68
20240401,CUS-00751,Growth,1457.08
20240401,CUS-00785,Starter,130.68
20240401,CUS-00829,Starter,130.68
20240401,CUS-00889,Starter,106.92
20240401,CUS-00907,Enterprise,16224.0
20240401,CUS-00963,Starter,106.92
20240401,CUS-01031,Growth,1337.32
20240401,CUS-01125,Growth,1576.84
20240401,CUS-01148,Starter,114.84
20240401,CUS-01184,Growth,898.2
20240401,CUS-01252,Growth,858.28
20240401,CUS-01359,Growth,1297.4
20240401,CUS-01367,Growth,778.44
20240401,CUS-01428,Growth,898.2
20240401,CUS-01486,Starter,99.0
20240401,CUS-01548,Enterprise,25248.0
20240401,CUS-01557,Growth,1217.56
20240401,CUS-01558,Growth,1057.88
20240401,CUS-01610,Enterprise,40032.0
20240401,CUS-01688,Enterprise,25440.0
20240401,CUS-01777,Growth,818.36
20240401,CUS-01911,Starter,106.92
20240401,CUS-02106,Enterprise,8544.0
20240401,CUS-02138,Growth,1616.76
20240401,CUS-02144,Starter,122.76
20240401,CUS-02177,Growth,858.28
20240401,CUS-02278,Enterprise,19296.0
20240401,CUS-02398,Starter,130.68
20240401,CUS-02403,Starter,130.68
20240401,CUS-02774,Growth,1576.84
20240401,CUS-02822,Growth,1217.56
20240401,CUS-02890,Starter,122.76
20240401,CUS-03014,Starter,114.84
20240401,CUS-03032,Growth,1137.72
20240401,CUS-03036,Enterprise,40416.0
20240401,CUS-03051,Starter,122.76
20240401,CUS-03147,Growth,738.52
20240401,CUS-03177,Growth,1017.96
20240401,CUS-03231,Enterprise,39072.0
20240401,CUS-03423,Growth,1217.56
20240401,CUS-03425,Starter,99.0
20240401,CUS-03529,Starter,122.76
20240401,CUS-03606,Enterprise,25056.0
20240401,CUS-03622,Starter,106.92
20240401,CUS-03648,Starter,130.68
20240401,CUS-03689,Growth,1017.96
20240401,CUS-03720,Growth,658.68
20240401,CUS-03760,Starter,99.0
20240401,CUS-03850,Growth,1536.92
20240401,CUS-03853,Starter,106.92
20240401,CUS-03868,Starter,114.84
20240401,CUS-03910,Growth,1217.56
20240401,CUS-03942,Starter,106.92
20240401,CUS-04077,Enterprise,10080.0
20240401,CUS-04104,Growth,898.2
20240401,CUS-04111,Starter,130.68
20240401,CUS-04159,Growth,898.2
20240401,CUS-04182,Starter,114.84
20240401,CUS-04275,Growth,1377.24
20240401,CUS-04292,Growth,978.04
20240401,CUS-04299,Starter,130.68
20240401,CUS-04488,Starter,122.76
20240401,CUS-04711,Growth,1337.32
20240401,CUS-04720,Growth,1177.64
20240401,CUS-04861,Enterprise,17760.0
20240401,CUS-04963,Starter,122.76
20240501,CUS-00017,Growth,1297.4
20240501,CUS-00018,Growth,898.2
20240501,CUS-00084,Growth,818.36
20240501,CUS-00137,Growth,1257.48
20240501,CUS-00193,Enterprise,32736.0
20240501,CUS-00197,Growth,1497.0
20240501,CUS-00209,Growth,1616.76
20240501,CUS-00215,Enterprise,30240.0
20240501,CUS-00244,Enterprise,20448.0
20240501,CUS-00258,Growth,1057.88
20240501,CUS-00259,Growth,818.36
20240501,CUS-00275,Growth,1137.72
20240501,CUS-00327,Starter,130.68
20240501,CUS-00368,Growth,1536.92
20240501,CUS-00400,Starter,114.84
20240501,CUS-00404,Growth,658.68
20240501,CUS-00414,Growth,1257.48
20240501,CUS-00598,Growth,1536.92
20240501,CUS-00628,Starter,99.0
20240501,CUS-00697,Starter,106.92
20240501,CUS-00735,Growth,1177.64
20240501,CUS-00745,Starter,130.68
20240501,CUS-00751,Growth,1457.08
20240501,CUS-00772,Starter,99.0
20240501,CUS-00785,Starter,130.68
20240501,CUS-00815,Starter,114.84
20240501,CUS-00829,Starter,130.68
20240501,CUS-00889,Starter,106.92
20240501,CUS-00907,Enterprise,16224.0
20240501,CUS-00963,Starter,106.92
20240501,CUS-01031,Growth,1337.32
20240501,CUS-01070,Starter,114.84
20240501,CUS-01125,Growth,1576.84
20240501,CUS-01148,Starter,114.84
20240501,CUS-01184,Growth,898.2
20240501,CUS-01252,Growth,1057.88
20240501,CUS-01276,Growth,1457.08
20240501,CUS-01286,Growth,738.52
20240501,CUS-01359,Growth,1297.4
20240501,CUS-01367,Growth,778.44
20240501,CUS-01428,Growth,898.2
20240501,CUS-01486,Starter,99.0
20240501,CUS-01548,Enterprise,25248.0
20240501,CUS-01557,Growth,1217.56
20240501,CUS-01558,Growth,1057.88
20240501,CUS-01591,Growth,1417.16
20240501,CUS-01610,Enterprise,40032.0
20240501,CUS-01644,Starter,106.92
20240501,CUS-01688,Enterprise,25440.0
20240501,CUS-01707,Growth,1497.0
20240501,CUS-01777,Growth,818.36
20240501,CUS-01862,Starter,106.92
20240501,CUS-01864,Starter,99.0
20240501,CUS-01911,Starter,106.92
20240501,CUS-01986,Growth,978.04
20240501,CUS-02106,Enterprise,8544.0
20240501,CUS-02138,Growth,1616.76
20240501,CUS-02144,Starter,122.76
20240501,CUS-02177,Growth,858.28
20240501,CUS-02278,Enterprise,19296.0
20240501,CUS-02351,Enterprise,38304.0
20240501,CUS-02394,Growth,818.36
20240501,CUS-02398,Starter,130.68
20240501,CUS-02403,Starter,130.68
20240501,CUS-02471,Starter,106.92
20240501,CUS-02642,Growth,1345.07
20240501,CUS-02670,Enterprise,26400.0
20240501,CUS-02676,Starter,114.84
20240501,CUS-02751,Growth,1616.76
20240501,CUS-02799,Starter,99.0
20240501,CUS-02821,Starter,130.68
20240501,CUS-02822,Growth,1217.56
20240501,CUS-02862,Starter,99.0
20240501,CUS-02870,Enterprise,27360.0
20240501,CUS-02890,Starter,122.76
20240501,CUS-03014,Starter,114.84
20240501,CUS-03032,Growth,1137.72
20240501,CUS-03036,Enterprise,40416.0
20240501,CUS-03051,Starter,122.76
20240501,CUS-03052,Starter,99.0
20240501,CUS-03072,Growth,1297.4
20240501,CUS-03119,Growth,1177.64
20240501,CUS-03138,Growth,1457.08
20240501,CUS-03147,Growth,738.52
20240501,CUS-03177,Growth,1017.96
20240501,CUS-03231,Enterprise,39072.0
20240501,CUS-03423,Growth,1217.56
20240501,CUS-03425,Starter,99.0
20240501,CUS-03448,Starter,106.92
20240501,CUS-03529,Starter,122.76
20240501,CUS-03558,Growth,1536.92
20240501,CUS-03592,Starter,122.76
20240501,CUS-03599,Starter,106.92
20240501,CUS-03606,Enterprise,25056.0
20240501,CUS-03622,Starter,106.92
20240501,CUS-03648,Starter,130.68
20240501,CUS-03689,Growth,1017.96
20240501,CUS-03690,Growth,1097.8
20240501,CUS-03720,Growth,658.68
20240501,CUS-03760,Starter,99.0
20240501,CUS-03767,Growth,1497.0
20240501,CUS-03783,Starter,99.0
20240501,CUS-03831,Starter,122.76
20240501,CUS-03850,Growth,1536.92
20240501,CUS-03853,Starter,106.92
20240501,CUS-03861,Starter,106.92
20240501,CUS-03868,Starter,114.84
20240501,CUS-03910,Growth,1217.56
20240501,CUS-03945,Growth,1457.08
20240501,CUS-03977,Starter,122.76
